task_type,subject_importance,deadline_days,estimated_time,difficulty,urgency_self,energy_required,self_reported_procrastination,completion_status,actual_time_vs_estimate,energy_at_attempt,priority
Project,Core,16.969500585375478,59.37051467274156,4.70749186029879,1.5930991990600778,Medium,1.0033773068918084,Completed but late,Same as estimated,High,Low
Assignment,Secondary,5.5618741474155575,77.01924166600357,1.0500402179660369,4.600153881761421,High,1.5877763473781008,Completed but late,Less than estimated,High,High
Project,Secondary,1.3589478983206482,89.0604718581165,2.987396866832428,3.893254708225827,Low,2.18342292013328,Completed on time,Less than estimated,High,Low
Exam Preparation,Optional,1.618251272086284,62.425475479353764,2.0679008323186054,3.9894272955961094,Low,2.5218143041969445,Did not start,Much more,Medium,Low
Revision / Practice,Optional,12.083395781645383,43.15062080185207,2.529350569079083,4.193883758031928,Medium,4.911001919926894,Completed on time,Same as estimated,Low,Medium
Reading / Notes,Optional,11.776578301614474,84.32178421386115,2.0837192722208364,1.5582753867814167,Medium,3.387767560112455,Completed but late,Same as estimated,Medium,Low
Reading / Notes,Core,1.7091152214594785,65.69046450838547,4.292295100876505,2.3947392478550666,Medium,1.5164567920594312,Completed on time,Same as estimated,High,Low
Assignment,Secondary,16.709659472965445,41.488652131587585,3.840164515413441,3.479357023085165,Medium,2.0340412249151045,Started but not completed,Same as estimated,Low,Medium
Revision / Practice,Optional,19.189276686877633,54.44795372407751,3.828209484405821,2.3964442994534902,Medium,4.876889951494046,Completed on time,Slightly more,High,High
Reading / Notes,Core,1.109696654493788,60.459782249710415,1.0253945474664996,1.1941325693993523,Medium,4.159373395098085,Completed but late,Same as estimated,Medium,Low
Revision / Practice,Optional,19.25007461813613,90.3561990272289,2.2951752228215447,2.302301581421923,Low,3.065243929484961,Completed but late,Less than estimated,Low,Medium
Reading / Notes,Secondary,0.8986729119078984,75.92854298347731,2.088406652828967,3.320167344923875,High,2.6866381367679524,Did not start,Less than estimated,Medium,Low
Assignment,Core,19.341543455337202,46.12145379592319,2.3742280860317893,4.267451897507888,High,4.744833501425927,Completed on time,Same as estimated,Medium,Medium
Reading / Notes,Core,12.557694212679369,43.67965644835865,1.5516321015300254,3.574669286183898,High,3.1986282598834594,Completed but late,Much more,Medium,Medium
Revision / Practice,Optional,11.700513809301851,69.96766947182587,2.78926552005107,4.111384924338133,Low,2.2566268947077313,Started but not completed,Same as estimated,High,Medium
Revision / Practice,Secondary,2.7566039546341137,30.2438145232885,2.464061864516443,1.076298794644409,Medium,1.4900313372785305,Completed on time,Same as estimated,High,High
Exam Preparation,Optional,4.604965328048573,85.72496964520468,4.914118690703992,2.315999006512316,High,2.8863870825501308,Did not start,Same as estimated,Medium,High
Exam Preparation,Optional,1.5272067544261847,43.81566986755246,2.8140418418317474,4.9955595289695225,Low,1.3584736551749028,Did not start,Less than estimated,Low,Medium
Revision / Practice,Core,3.670449259313835,101.08293818194512,3.703591936178655,2.087610551303023,High,1.0298295170293073,Completed on time,Same as estimated,High,Low
Assignment,Core,6.23204385994609,49.97247960779905,4.549419909090076,4.208959812365059,High,3.7868912656574802,Did not start,Same as estimated,Medium,Low
Project,Optional,1.6838223551958365,119.65024468965386,3.246907377441168,3.858078374092357,Low,3.156254419234946,Did not start,Slightly more,Low,High
Project,Core,11.589510899561759,68.42743454628449,1.7703963463869843,4.793443821437654,Medium,2.8990118075447455,Completed on time,Slightly more,Medium,Low
Exam Preparation,Secondary,13.553952052342925,82.61658744536624,2.176614578015166,3.8701293592853365,High,2.429973600064196,Completed on time,Much more,Medium,Medium
Reading / Notes,Secondary,3.343326840272789,90.75419577068234,1.514799652575885,4.056052656281857,Low,4.757154094994501,Completed but late,Slightly more,Medium,Low
Project,Core,13.895149931015531,55.301922003709066,4.198873290134893,2.311800514752373,High,1.6382263606632228,Completed but late,Less than estimated,High,Medium
Reading / Notes,Secondary,0.48245177362620684,103.42322785653043,4.222555394953538,1.400023919546285,Medium,3.7340362491772168,Did not start,Same as estimated,High,High
Project,Optional,13.564322731631638,89.39051882499047,4.924165907130785,2.2185992118638853,Medium,2.9987216233646308,Completed on time,Less than estimated,Low,High
Revision / Practice,Core,5.794776882992696,99.11087703094985,1.913465395674673,4.807921361185851,Low,1.3957734205866879,Completed but late,Much more,Low,Low
Revision / Practice,Core,4.392713778950636,73.16934177453123,1.7495877331083447,2.853941586913738,Low,2.8388257501364844,Completed but late,Slightly more,High,Low
Revision / Practice,Optional,18.223613609455033,75.8092462478303,4.172530176584602,1.9501066146230484,High,2.0584116770499565,Did not start,Less than estimated,Medium,Low
Exam Preparation,Secondary,6.590368500166621,110.1790121424778,3.8812454621698573,3.4709212667952505,Low,3.783253154253431,Did not start,Slightly more,Medium,Medium
Revision / Practice,Core,17.334077321003463,38.83137822307129,1.966787763181876,2.842925225117417,Low,2.609574283667014,Completed but late,Same as estimated,Medium,Low
Assignment,Secondary,16.650280598254938,110.64650358985361,1.8072444929695535,1.9522796840805516,Medium,4.536220138556612,Started but not completed,Much more,Medium,High
Revision / Practice,Core,11.863663854777244,88.15985983974699,4.333867911023495,3.520148688942545,Low,1.8310406994669948,Completed on time,Same as estimated,Medium,Medium
Project,Optional,0.3741789280072938,39.445500019730304,3.775918268930908,2.214205920952023,High,3.853239193512622,Completed on time,Same as estimated,High,Medium
Reading / Notes,Core,6.576914744255031,103.38209070965182,1.7674030849984241,2.2385196352419587,Medium,3.450706642672999,Did not start,Same as estimated,Medium,High
Revision / Practice,Secondary,14.340630740709754,37.919663613735715,2.0241079530879245,2.67439440331558,Medium,4.689320285026577,Started but not completed,Slightly more,Low,High
Reading / Notes,Optional,0.7550996678829591,49.857492526603224,1.2240832783739939,3.991639325660266,High,1.1334299510789525,Did not start,Slightly more,Low,Medium
Project,Secondary,19.07532084492711,48.34920221855693,4.790975318359812,2.240979330877312,Medium,1.4126078859658517,Did not start,Same as estimated,Medium,Medium
Revision / Practice,Core,15.68992432954656,99.48272175604743,4.092085685341017,1.9809291876150774,Low,4.7847523357952015,Did not start,Same as estimated,High,High
Revision / Practice,Optional,17.134134520254523,50.94320821232805,3.1881658653486684,1.6567159637402455,Low,1.253086013031687,Started but not completed,Less than estimated,High,High
Exam Preparation,Optional,2.6012992148908176,43.96293285563489,4.274795421000331,2.8236268581006283,Medium,4.016743019854227,Completed on time,Same as estimated,Low,High
Exam Preparation,Optional,14.109462157899838,86.20893058231681,2.713538358596267,2.0192246831683054,Low,4.264584090269668,Completed on time,Slightly more,Medium,Medium
Exam Preparation,Core,16.768002928899275,68.40393031039419,4.432734526165794,2.670723218783095,Medium,4.651971615686913,Started but not completed,Less than estimated,Low,Medium
Assignment,Core,10.461270324302516,36.07489739525957,1.595481723532326,3.7699766252753633,Low,4.827004172179125,Completed on time,Same as estimated,Low,Low
Assignment,Secondary,11.011919632395797,66.13897886715647,3.1623774349383478,4.555842430388758,High,1.702813639453403,Completed but late,Same as estimated,Medium,High
Revision / Practice,Secondary,17.40909305421102,61.03992396220574,3.493668186604124,1.9824974785051035,Low,2.925619767816217,Started but not completed,Less than estimated,High,Low
Assignment,Optional,9.531529122105146,99.00614743110093,2.9613455042842345,1.3660315673697028,Low,4.579154229886576,Completed but late,Same as estimated,Medium,High
Project,Secondary,10.111670063051545,91.92676864302781,2.060525721224893,4.798953231392762,Low,4.296711038274109,Completed on time,Less than estimated,Medium,Low
Exam Preparation,Optional,16.071380116461235,111.10749017048099,3.477396051607041,2.1035040961477365,Medium,1.6515224601417815,Started but not completed,Less than estimated,High,Low
Reading / Notes,Optional,8.568628015312667,92.228255236427,3.9675497971556073,1.3192339475571102,Medium,2.0867455786409037,Completed on time,Same as estimated,High,High
Project,Optional,7.5510541329515535,76.12010955749219,1.6433135799497305,2.5706904721759303,High,4.480936521517737,Started but not completed,Slightly more,High,Medium
Reading / Notes,Secondary,11.620246111391555,118.04559725536018,1.8969360575626504,4.174684074410793,Medium,1.386451227331421,Started but not completed,Slightly more,Low,High
Assignment,Optional,14.701867944942475,103.5452226905945,2.283605122362593,2.029251407308315,High,4.508298968388019,Started but not completed,Slightly more,High,Medium
Reading / Notes,Secondary,5.642295286797944,110.15268385617786,3.335341084637872,3.0014568842903055,High,2.9404588482553624,Completed on time,Same as estimated,Low,High
Revision / Practice,Core,17.806019781008434,118.33986823783681,3.0977959753649804,1.409992667743087,Medium,1.8768485347143864,Completed but late,Much more,Medium,Medium
Assignment,Secondary,12.695240208368276,42.17682561864813,4.314293866793873,4.23692830140606,Low,4.078027330960208,Did not start,Much more,High,Medium
Reading / Notes,Secondary,1.1123386982692218,80.23355277007582,2.7967086422977614,3.335115104766966,High,3.180490224691329,Started but not completed,Slightly more,Medium,High
Reading / Notes,Optional,5.007652288919391,67.82305359816186,2.3893437758496847,3.135711144194422,High,2.24367506710429,Did not start,Same as estimated,High,High
Exam Preparation,Core,7.437344938537549,85.29982314281179,4.7478558845587315,3.4632127988212944,Low,1.6048915439922071,Completed but late,Much more,Medium,High
Revision / Practice,Optional,5.112830489043738,96.73690535768156,3.5520956314350123,4.769475299257669,Low,4.386727159592963,Completed on time,Less than estimated,Medium,Low
Reading / Notes,Core,6.2020510423921245,63.52434041784314,4.940290837839877,1.5823749191416234,Medium,4.354814523937499,Completed but late,Same as estimated,High,Low
Project,Optional,11.227961668400543,97.72214272665835,1.504760341340873,1.4752514864934425,High,1.9747725902489432,Completed but late,Same as estimated,Medium,High
Exam Preparation,Optional,18.916943354247017,57.67706663227102,4.352598082991722,1.1339203071815653,High,1.8951931816271448,Completed but late,Less than estimated,Medium,High
Exam Preparation,Core,1.7256194747791076,43.008132311510415,3.7082793473148716,4.023347669301115,Medium,4.3628695788169285,Started but not completed,Less than estimated,Medium,Medium
Exam Preparation,Optional,10.466517348762181,83.485084046857,4.648228363530896,3.692496793868063,Medium,2.2379394510111474,Completed but late,Less than estimated,Low,High
Reading / Notes,Core,7.076655446407867,44.206123936221736,1.8087434530147055,2.566349707132653,Low,2.1693977529442603,Started but not completed,Same as estimated,Medium,Low
Assignment,Optional,6.760846820715669,111.39408905344106,4.039023410587209,3.6107662513048355,Low,3.497893766073629,Started but not completed,Same as estimated,Medium,Medium
Assignment,Core,5.481626296693567,56.0277694115524,3.953371372950757,2.9465112042937474,High,1.5002790516603897,Started but not completed,Slightly more,Medium,High
Project,Core,19.35145872219267,65.94669183156282,1.5630642221235584,2.157419436466409,Low,4.904390167085103,Completed on time,Slightly more,High,Medium
Project,Optional,10.810793949564477,35.04356343740717,2.3715970497329475,3.0053685356835564,Low,3.667210779574886,Completed on time,Slightly more,Medium,High
Project,Optional,12.258835377445712,58.581155794193386,1.9413388851370006,2.408380043847548,High,1.195871429701243,Completed but late,Same as estimated,High,Low
Assignment,Optional,5.207250357009401,90.0691701214879,1.1095023943974258,3.5175097566577573,Medium,1.5894440263719,Completed but late,Slightly more,High,High
Revision / Practice,Secondary,3.938116332873962,65.10441312551119,2.7605336183317513,2.9175141473261292,Low,1.5241042645391958,Started but not completed,Less than estimated,Medium,High
Exam Preparation,Core,5.134099944197419,71.02547278057864,3.710958121689409,1.9321749046052,High,2.5346699711236997,Did not start,Less than estimated,Medium,Low
Assignment,Secondary,0.9982506357808263,39.13682136106564,1.0696697825687327,1.922829947780127,Low,2.7590083505432905,Completed but late,Same as estimated,Medium,Medium
Assignment,Optional,2.722311230971013,42.06695735724564,1.2802365713443367,1.6035823483239313,High,2.5556072734179534,Completed but late,Same as estimated,High,Medium
Assignment,Core,16.065784882590886,70.21778794327338,3.4434039274606945,4.321919354121543,Low,2.3096720973023084,Completed but late,Slightly more,Low,Medium
Assignment,Optional,18.991469959669523,109.5909995853844,4.884034389498764,2.6320322057194097,Low,3.26154277549569,Completed but late,Much more,Low,Low
Project,Secondary,0.5290702458212793,77.73683719260968,2.403569700126678,3.628928722039836,High,1.953473749754815,Did not start,Slightly more,Low,High
Exam Preparation,Core,13.999422676192268,54.490467359725145,1.5706502641584241,1.7505168625224807,Medium,1.9087822242009724,Completed on time,Same as estimated,Medium,High
Project,Core,8.842137647259548,95.33687258713046,1.0829057735008938,2.9735506686166038,Medium,3.885385018004666,Completed but late,Less than estimated,High,High
Exam Preparation,Core,17.636098777578308,48.094380723187456,3.5765597983236463,2.9313697912178105,Medium,4.390031213002523,Completed but late,Slightly more,Low,Low
Exam Preparation,Core,14.160947235294115,72.47247351813587,4.18106874288072,2.355289395179528,Medium,3.2167117375056713,Started but not completed,Same as estimated,High,Low
Reading / Notes,Core,16.367292454939186,119.20194336755745,4.699854623075975,1.4945975966931213,High,3.551069402608048,Completed on time,Same as estimated,High,Medium
Revision / Practice,Secondary,2.9246976303404004,36.99346239153273,2.9802215531965057,1.5776544426885337,Medium,3.497676560677576,Completed on time,Same as estimated,High,Low
Revision / Practice,Secondary,17.26213798952774,91.42172089916305,1.769251042585581,4.320961326867488,Medium,4.802655164978773,Did not start,Slightly more,Medium,High
Exam Preparation,Secondary,14.696594159988267,94.55717608505373,4.97568282987801,4.741239195816878,Medium,2.982544941739516,Did not start,Slightly more,High,Medium
Revision / Practice,Optional,4.4490361879521245,99.4322598959959,3.543926618910826,3.4624317612886744,High,4.828961731798278,Started but not completed,Much more,Medium,Low
Reading / Notes,Secondary,7.12709973636729,73.47670075880492,1.1910767226473729,2.4325954388646847,Medium,4.469096457778136,Started but not completed,Much more,Medium,Medium
Revision / Practice,Core,11.178249423710835,51.50037916666855,2.0825876171678326,4.833701295352391,High,3.351691849628261,Completed but late,Much more,Medium,Low
Reading / Notes,Core,8.967777280762297,47.916775974905995,3.3587817428858084,2.951343712118212,High,1.2594289674514907,Did not start,Same as estimated,Low,Medium
Revision / Practice,Optional,11.780671418214858,54.137662049833935,1.6519293888726883,2.8206266332794114,High,1.7804974937302798,Started but not completed,Less than estimated,Low,Medium
Revision / Practice,Optional,13.364541680437558,90.97350318879438,2.8432578532086037,2.7624118393341264,Medium,4.758960696520225,Did not start,Slightly more,Low,High
Assignment,Optional,5.499731591684169,73.16704880685009,4.148323446623747,4.417462806176797,High,3.5909800174895055,Started but not completed,Slightly more,Medium,Medium
Reading / Notes,Core,3.6729009151520486,39.18128985436735,1.3323786128046389,3.5150513184606207,Low,1.3517838005530094,Did not start,Same as estimated,Low,Medium
Exam Preparation,Optional,10.61377705555309,107.99124476531672,4.125025490655984,2.1579758070452435,Medium,3.1958285995270543,Started but not completed,Slightly more,High,Low
Reading / Notes,Secondary,6.285800606548053,118.4026799684589,2.313247011323537,1.5751340941896763,High,4.180095133934445,Did not start,Much more,High,Low
Project,Optional,15.338158536836303,55.15141132713077,4.987032828223625,4.876388359772157,Medium,4.74501444538506,Started but not completed,Much more,Medium,Medium
Assignment,Secondary,14.004499027642751,97.64149583064851,2.661424807105945,1.2544060467771119,High,1.204784311825672,Completed on time,Much more,Low,Low
Reading / Notes,Secondary,11.546671593881563,105.61879156095625,3.9680821707103138,4.536817520162421,Medium,4.2304725734999895,Did not start,Same as estimated,Low,Low
Assignment,Secondary,1.6901803617433542,50.70569733688219,4.603241239391279,2.597263518451577,High,4.857212150772096,Completed but late,Same as estimated,Low,Low
Assignment,Secondary,5.3262245784820355,92.32144593460754,2.8981444624373127,4.119594308047133,Low,2.720724314385084,Did not start,Same as estimated,High,Low
Reading / Notes,Optional,0.6664422580393459,93.93856449592144,2.6812002153706826,3.8842807468932063,Low,1.5238459258614494,Did not start,Much more,High,Medium
Project,Core,6.7207535115103045,66.92894398064878,1.1405176544427595,4.5941973486855066,Low,2.567043589684573,Did not start,Same as estimated,Medium,High
Revision / Practice,Optional,12.124910992540753,76.86944078954369,3.9245110835807395,1.628631245768024,Medium,1.2228716288503292,Completed on time,Same as estimated,High,Low
Project,Secondary,17.900794637126552,48.92572693077176,4.9678454830094365,3.6580219754039853,Low,4.931024118324805,Completed but late,Same as estimated,Low,Low
Revision / Practice,Secondary,15.643610006633331,53.127811952201014,4.354717448917581,1.0601046097493194,High,3.473201654762432,Completed but late,Same as estimated,Low,Medium
Revision / Practice,Core,5.226978634283053,64.58489791292993,2.480319701607797,4.0111472549055955,High,4.286851782860131,Started but not completed,Same as estimated,High,High
Project,Optional,4.0707087316814565,101.89071998301594,1.1261039451491026,3.399445310406675,Medium,4.780359543149506,Did not start,Less than estimated,High,Medium
Project,Secondary,10.632082169573621,32.495344886129246,3.7045116344371585,2.9867945548798365,Medium,2.01042655680183,Completed but late,Slightly more,Low,Low
Reading / Notes,Secondary,11.694846854275216,109.5769541206884,1.68121797226123,1.1087276789954452,High,1.762490707900743,Did not start,Much more,Low,Medium
Assignment,Optional,13.870551107542777,30.594066603972003,2.958766673923811,1.8297016538335784,Medium,4.247828483022101,Started but not completed,Slightly more,Medium,Low
Reading / Notes,Secondary,1.5445457921886363,92.77410475178269,1.4688606767564645,4.430976901924859,Medium,2.394204244853378,Completed on time,Much more,High,Low
Exam Preparation,Optional,5.488101532744891,89.42737907911865,1.7863336047751286,4.3855230430315215,Low,3.513959540064312,Started but not completed,Slightly more,Medium,High
Reading / Notes,Secondary,4.776212052403121,89.35075131290233,2.248194206323206,2.4710673142698814,Medium,4.273496569834601,Started but not completed,Much more,High,Low
Exam Preparation,Core,4.70100102831111,102.10219182005984,4.059549573810537,2.668180349336132,High,4.0144606166339765,Started but not completed,Less than estimated,Low,Medium
Exam Preparation,Secondary,4.66150047583997,102.08680065203099,3.7055598055034924,4.694339971202292,Medium,1.0930034066225458,Completed but late,Less than estimated,High,Medium
Revision / Practice,Secondary,11.768929464841735,117.28346689242805,3.5609576431497305,1.0653535807542913,High,2.532942078216725,Did not start,Less than estimated,Medium,Low
Assignment,Core,3.3703880530245045,47.38439164693317,1.9237988505221457,3.4571596151264203,Medium,1.4243088434853588,Started but not completed,Less than estimated,Low,High
Revision / Practice,Core,6.536595709532184,64.77757965096592,3.116855823702196,1.8701090604385837,Medium,2.094726583129212,Completed but late,Same as estimated,High,Low
Exam Preparation,Core,7.958946366167032,104.0861724429946,1.3393138451120743,1.7915899628698382,Low,3.60198852663878,Did not start,Same as estimated,High,Medium
Assignment,Secondary,3.855456175627414,57.69550079780047,1.8287070064694522,2.9771855256913367,Medium,3.8021308258338435,Did not start,Same as estimated,Low,Low
Reading / Notes,Core,14.053701314748592,116.35987546600913,1.444901806115483,4.527223866204583,Low,1.7746055442679172,Did not start,Same as estimated,Low,Medium
Exam Preparation,Secondary,15.53642557361379,85.68095217405002,4.345718788183919,4.808977187050394,Medium,4.915598328539854,Completed but late,Same as estimated,Low,Medium
Reading / Notes,Secondary,10.608810502234896,60.24210122464349,3.338538916785524,4.041162050951318,High,1.6384033909654505,Did not start,Same as estimated,Low,Low
Assignment,Secondary,8.416122456600403,98.16079192915788,4.402076160246267,2.5441031311684363,High,3.861132398511318,Completed but late,Much more,Low,Medium
Revision / Practice,Optional,2.6660125016929315,109.00876775705625,2.6438639752481508,1.6254717587304346,Low,1.3040300747282298,Did not start,Less than estimated,High,High
Project,Core,0.6859874538855282,82.3261682460394,4.012285935327026,1.523388092262742,Medium,1.2275917264604406,Started but not completed,Less than estimated,Medium,High
Exam Preparation,Secondary,7.696079202695312,99.15825461726152,2.1396059986178124,1.3273673521142721,Low,3.66674496698838,Did not start,Less than estimated,Medium,Medium
Reading / Notes,Secondary,12.335714340355127,31.79309094139258,4.889912171530284,3.809641997528647,Medium,4.113745819201425,Completed but late,Slightly more,Medium,Medium
Project,Optional,12.236896392773026,74.70066553611528,3.073180027067989,1.8857122137732079,Medium,1.5455081143074287,Completed on time,Less than estimated,High,High
Project,Core,3.962060862269745,48.313204451279276,1.5726428333015172,2.851358668001296,Low,3.251622543374481,Did not start,Much more,High,High
Assignment,Optional,11.91777579525034,93.02241649748152,1.7746672781516772,1.247674669930026,Low,4.978623693316251,Completed on time,Less than estimated,Low,Medium
Reading / Notes,Optional,15.619858044581377,114.03754373770047,2.385159030324199,3.621942834968668,Medium,4.995060687894973,Completed on time,Less than estimated,Medium,Low
Assignment,Optional,14.52446973435283,59.48699220466048,2.808293554724641,1.9322876372263895,High,3.2649530263282833,Completed on time,Much more,Medium,Low
Exam Preparation,Core,7.213159741129676,42.18645743745039,3.8637667743247692,3.5211435519363885,Low,4.0536151234705,Did not start,Less than estimated,Low,Medium
Exam Preparation,Secondary,17.800540710792824,110.87286754652422,3.500016550441436,2.0004919692095506,Low,1.5901078199201297,Completed but late,Less than estimated,High,High
Assignment,Secondary,16.75461760445665,31.802162619093256,1.9275684984134198,1.2334630301924632,Low,2.3992957704353066,Completed but late,Slightly more,Low,Low
Revision / Practice,Optional,1.9552603224113718,86.7832945661371,4.203891409665529,1.217118534796446,Medium,1.9617120609462302,Did not start,Same as estimated,Medium,Low
Exam Preparation,Secondary,2.610441081151289,117.84605360506329,3.0154741403431107,3.5108003742713887,Low,3.7099225755130707,Completed on time,Less than estimated,Low,Low
Project,Optional,12.68608490772899,32.16365372753762,2.1507943844366535,2.4404304200164657,Medium,3.669241421669639,Completed on time,Same as estimated,Low,Medium
Revision / Practice,Secondary,7.352596709145218,43.75850411033991,2.3802540105843177,2.285489928705677,High,4.027511402928532,Did not start,Slightly more,High,Low
Revision / Practice,Optional,11.23899998198767,100.45627527871513,3.2927543787361735,1.4434029186391455,Medium,4.616805233481218,Started but not completed,Slightly more,Low,Low
Project,Core,19.83036021609077,85.64894739755752,4.9811156748429335,1.3895418234714625,Medium,2.546028099235141,Completed but late,Less than estimated,Low,Medium
Revision / Practice,Optional,12.355088573134068,89.65413198667191,3.503397738133353,2.416596998991434,High,3.446510213506144,Did not start,Less than estimated,Low,Medium
Reading / Notes,Optional,1.0618763528894637,45.39022317727262,4.3818586760660985,1.3547444269604716,Low,1.9258231337871243,Completed on time,Same as estimated,Medium,High
Revision / Practice,Secondary,9.395218241710428,51.00128296528601,3.080498148846248,3.517944768425463,Medium,4.201389277819633,Completed on time,Much more,High,High
Reading / Notes,Core,10.755198351283275,69.7405812613099,2.067042583724466,4.57217885625722,Low,2.598871322968023,Completed but late,Same as estimated,Medium,High
Assignment,Secondary,7.474980364498222,38.26680805472158,3.0220937654146676,3.7085651385379386,Medium,1.1379812876191813,Started but not completed,Slightly more,High,High
Revision / Practice,Optional,17.460874092498017,37.666788350206055,2.3839524833930006,4.420753710737875,High,3.6669936657102564,Completed on time,Same as estimated,Medium,High
Assignment,Secondary,18.79388510414094,115.29109665861336,4.886434387672102,1.92367985391324,High,4.386992753011686,Did not start,Much more,High,Medium
Revision / Practice,Core,4.792261433769456,119.34416981668844,3.365188302530697,2.663597123596308,High,1.0278707879496558,Did not start,Much more,Low,High
Assignment,Optional,10.09687222932746,119.95833243321032,1.4990105297924181,3.9378902479829128,Medium,2.907351348181059,Completed but late,Same as estimated,Low,High
Assignment,Secondary,17.482111421756724,106.31383595846671,3.0581094581330683,3.2876999402026015,Medium,1.0755375813506767,Did not start,Much more,High,Medium
Revision / Practice,Core,15.749490393858572,77.50431956239947,4.6508089051838635,1.3663297236240566,High,4.2964028229766305,Completed but late,Slightly more,Low,High
Project,Optional,1.0654565271976368,113.91801797637294,2.9458490630191982,4.889395769403906,High,1.6299132665559788,Completed but late,Much more,High,Medium
Exam Preparation,Optional,16.79771618507305,49.803375143145765,2.193140864523064,2.977295496194794,Medium,1.275782174766524,Did not start,Less than estimated,Medium,Medium
Exam Preparation,Optional,1.2517679770438694,74.63590163510524,4.427506211713697,1.8358363487317515,High,3.253779215678286,Started but not completed,Slightly more,Medium,Medium
Project,Secondary,17.326056757760984,66.03362619562658,1.4135960665761083,3.8364446127590823,Low,3.622914254037793,Completed on time,Slightly more,Medium,Medium
Revision / Practice,Optional,7.9859188975344,114.92229354200241,4.580170479273082,4.590134206668509,High,1.540084942832225,Completed but late,Much more,Low,Medium
Revision / Practice,Core,18.26155195877575,49.67702915652288,1.898561655070282,1.0258910951435958,Medium,4.370574519039165,Started but not completed,Same as estimated,High,Low
Revision / Practice,Optional,12.347066362450496,92.23716337641369,2.9552058907682173,1.5552111559655226,Medium,3.913334056194616,Did not start,Slightly more,High,High
Reading / Notes,Core,5.545251876546544,119.88822686671185,3.7132464595729364,3.638187671631803,Medium,3.0269228917470725,Completed on time,Much more,Medium,Medium
Assignment,Secondary,19.841740678556654,40.68428594641162,2.6093123824484024,4.6790310783367115,Medium,1.0748636195864005,Completed but late,Slightly more,Low,High
Exam Preparation,Core,2.0386189026956125,92.29949149259782,4.146272934867705,4.129975574120779,Low,2.393820146542299,Completed but late,Much more,High,Low
Project,Optional,16.643596986004205,72.6675469665783,4.467979806706996,4.9816224699264735,High,1.8255436156528946,Completed on time,Same as estimated,Medium,Medium
Revision / Practice,Core,4.2911011419951155,54.07403899139439,2.3798170905539173,3.8038863500701914,High,2.4658293145141887,Completed but late,Much more,High,Medium
Reading / Notes,Optional,18.360781872142017,75.88043422805166,1.925349664338042,1.805027115188619,Medium,2.5919604828607268,Completed but late,Less than estimated,Low,High
Exam Preparation,Optional,5.667041252357423,74.32430083672406,4.450695521242258,3.421478659264806,Low,2.395143194343763,Completed on time,Same as estimated,Medium,Medium
Exam Preparation,Optional,18.129581824118105,103.19122811343249,2.976872234428722,1.3442624760366209,Medium,3.5190489790435375,Did not start,Same as estimated,Medium,High
Reading / Notes,Secondary,14.054126396710114,81.88459680872768,3.1660426872176877,3.7069957237236557,Medium,3.652548040109265,Did not start,Slightly more,Low,Medium
Revision / Practice,Optional,7.534800987714078,44.9037875764006,1.7958159008208083,2.014038035563683,Low,2.453030064399395,Did not start,Slightly more,Medium,Low
Reading / Notes,Core,15.789077040058215,81.11605266587082,3.5698301094393368,2.5500139453158845,High,4.119450287688987,Completed on time,Same as estimated,Medium,Medium
Revision / Practice,Secondary,3.0766236441662054,72.92635994162035,2.9325455859442373,1.321636974084194,Medium,1.1176583997403533,Completed on time,Slightly more,Medium,Low
Reading / Notes,Secondary,13.219020180700252,79.0998220773087,4.954849570279094,4.202865132253036,Medium,4.400213370157237,Completed on time,Less than estimated,Low,Low
Revision / Practice,Core,1.6185085073938343,95.49001794212163,1.5914394717506934,1.923798507271032,High,4.379190593047848,Started but not completed,Same as estimated,Low,Medium
Assignment,Optional,15.484833899509006,97.1643386581952,1.54274291712747,4.482694053737589,High,3.9355942958817054,Did not start,Much more,Low,High
Revision / Practice,Secondary,6.0505934239562915,68.10914987376957,1.3738628610638624,4.375918238019189,Medium,3.615746460913379,Did not start,Much more,High,High
Revision / Practice,Optional,8.313125937904353,91.57902953383335,3.0649000349663367,1.8027478842222275,Medium,3.3416553408210077,Did not start,Same as estimated,Low,High
Project,Optional,16.360142441576954,86.53881684832908,3.9519797429456784,3.436333381649431,Medium,1.8809798154948263,Completed but late,Less than estimated,Medium,Low
Exam Preparation,Optional,11.773915423203249,31.179069676555574,4.108375030773017,2.7949375852920824,Low,4.315633189076966,Completed but late,Less than estimated,Medium,Medium
Project,Optional,15.644965220626725,73.92468536365264,2.990658274164872,3.051131332107715,High,4.896101057861111,Completed on time,Slightly more,Low,Medium
Exam Preparation,Core,10.847728052925586,57.850069364914404,3.6087126488656955,4.24894386874665,High,4.838673723912993,Completed but late,Much more,Low,Low
Revision / Practice,Secondary,2.6992619472083645,114.10628457786333,3.6509228853676348,1.0690115323443226,High,3.171910203383091,Completed on time,Much more,Low,Medium
Project,Optional,8.983027567306666,33.80912455045232,4.22798852610715,4.886699454911213,Low,2.482718514200139,Started but not completed,Much more,High,Medium
Assignment,Core,9.734277171381853,46.88273424848843,1.3073332022713489,4.772571870968594,Medium,4.605930959815464,Completed on time,Much more,Medium,High
Revision / Practice,Optional,4.542948403127276,55.07858499980394,2.18881517207654,3.0535101002827365,High,4.135481436084435,Completed on time,Much more,High,Medium
Revision / Practice,Secondary,18.960011123879966,92.55403706724638,2.1777122807521017,2.7967171578407912,Medium,1.1748109855698687,Did not start,Slightly more,High,High
